domain,replicate,degraded,totalErrorTurns,compactionEvents,semanticJudgingSucceeded,model,turnsUsed,stoppedReason,wallClockSec,appAgentApiCalls,applyToolCalls,totalTokens,classesFullF1,classesFullRecall,classesFullPrecision,relationshipsFullF1,propertiesFullF1,propertiesFullRecall,controlledValueFidelityFull,controlledValuePropertyGoldTotal,controlledValuePropertyMatchedCount,recoveryEffectivenessFull,recoveryEffectivenessWithFidelityFull,classesScopedF1,relationshipsScopedF1,propertiesScopedF1,recoveryEffectivenessScoped,semanticClassesFullF1,semanticRelationshipsFullF1,semanticPropertiesFullF1,rulesF1,actionsIdentificationF1,semanticRulesF1,semanticActionsF1
brick-hvac,run-01,false,0,0,true,gpt-5.4,61,app_agent_appears_finished,904,137,36,7826803,0.781,0.641,1,0.746,0.151,0.095,1,20,3,0.559,0.670,0.791,0.627,0.222,0.547,0.781,0.746,0.415,0.600,0,0.600,0
brick-hvac,run-02,false,0,0,true,gpt-5.4,81,app_agent_appears_finished,1559,139,41,7698262,0.960,0.923,1,0.879,0.567,0.405,1,20,7,0.802,0.851,0.667,0.680,0.529,0.625,0.960,0.879,0.567,0.923,0.833,0.923,0.833
brick-hvac,run-03,false,0,0,true,gpt-5.4,63,app_agent_appears_finished,1044,139,35,9668557,0.800,0.667,1,0.448,0.687,0.548,1,20,10,0.645,0.734,0.727,0.392,0.634,0.585,0.800,0.866,0.716,0.667,0.800,0.667,1
fibo-loans,run-01,false,0,0,true,gpt-5.4,77,app_agent_appears_finished,1245,152,55,7331582,0.674,0.509,1,0.814,0.649,0.490,,0,0,0.712,,0.679,0.622,0.556,0.619,0.674,0.814,0.649,0.600,1,0.600,1
fibo-loans,run-02,false,0,0,true,gpt-5.4,61,app_agent_appears_finished,1485,144,40,11362076,0.697,0.544,0.969,0.769,0.486,0.347,,0,0,0.651,,0.679,0.627,0.563,0.623,0.719,0.769,0.486,0.667,1,0.833,1
fibo-loans,run-03,false,0,0,true,gpt-5.4,62,app_agent_appears_finished,1158,124,42,6156632,0.690,0.526,1,0.794,0.493,0.347,,0,0,0.659,,0.704,0.653,0.581,0.646,0.690,0.794,0.522,0.667,1,0.667,1
iof-maintenance,run-01,false,0,0,true,gpt-5.4,55,app_agent_appears_finished,811,108,32,3977630,0.765,0.650,0.929,0.667,1,1,1,1,1,0.810,0.858,0.828,0.737,0.571,0.712,0.765,0.667,1,0.833,1,0.833,1
iof-maintenance,run-02,false,0,0,true,gpt-5.4,65,app_agent_appears_finished,1373,103,30,3828041,0.895,0.850,0.944,0.600,0.250,0.200,,1,0,0.582,,0.848,0.560,0.400,0.603,0.895,0.800,0.250,0.429,0.769,0.429,0.769
iof-maintenance,run-03,false,0,0,true,gpt-5.4,48,app_agent_appears_finished,739,104,28,4715861,0.765,0.650,0.929,0.552,0.333,0.400,1,1,1,0.550,0.662,0.828,0.583,0.222,0.544,0.765,0.552,0.500,0.545,0.800,0.727,1
iof-supply-chain,run-01,false,0,0,true,gpt-5.4,81,app_agent_appears_finished,1493,169,39,11083733,0.723,0.566,1,0.698,0.138,0.667,,0,0,0.520,,0.897,0.714,0.143,0.585,0.723,0.794,0.138,0.889,0.769,0.889,0.769
iof-supply-chain,run-02,false,0,0,true,gpt-5.4,57,app_agent_appears_finished,1191,136,36,9837463,0.658,0.491,1,0.815,0.500,0.667,,0,0,0.658,,0.852,0.851,0.571,0.758,0.658,0.815,0.500,0.571,0.667,0.571,0.667
iof-supply-chain,run-03,false,0,0,true,gpt-5.4,93,app_agent_appears_finished,1373,163,34,10463812,0.675,0.528,0.933,0.750,0.800,0.667,,0,0,0.742,,0.793,0.653,1,0.815,0.723,0.786,0.800,0.500,1,0.500,1
