domain,replicate,degraded,totalErrorTurns,compactionEvents,semanticJudgingSucceeded,model,turnsUsed,stoppedReason,wallClockSec,appAgentApiCalls,applyToolCalls,totalTokens,classesFullF1,classesFullRecall,classesFullPrecision,relationshipsFullF1,propertiesFullF1,propertiesFullRecall,controlledValueFidelityFull,controlledValuePropertyGoldTotal,controlledValuePropertyMatchedCount,recoveryEffectivenessFull,recoveryEffectivenessWithFidelityFull,classesScopedF1,relationshipsScopedF1,propertiesScopedF1,recoveryEffectivenessScoped,semanticClassesFullF1,semanticRelationshipsFullF1,semanticPropertiesFullF1,rulesF1,actionsIdentificationF1,semanticRulesF1,semanticActionsF1
brick-hvac,run-01,false,0,0,true,gpt-5.4,43,app_agent_appears_finished,555,90,26,4146490,0.721,0.564,1,0.780,0.314,0.190,0.750,20,4,0.605,0.641,0.700,0.558,0.480,0.579,0.721,0.780,0.314,0.833,0.600,0.833,1
brick-hvac,run-02,false,0,0,true,gpt-5.4,46,app_agent_appears_finished,1016,90,23,4114632,0.794,0.692,0.931,0.500,0.542,0.381,1,20,7,0.612,0.709,0.681,0.318,0.424,0.474,0.824,0.767,0.576,0.667,1,0.667,1
brick-hvac,run-03,false,0,0,true,gpt-5.4,44,app_agent_appears_finished,878,86,24,3738496,0.781,0.641,1,0.687,0.708,0.548,1,20,11,0.725,0.794,0.698,0.431,0.615,0.581,0.781,0.776,0.708,0.222,0.571,0.222,0.571
iof-maintenance,run-01,false,0,0,true,gpt-5.4,73,app_agent_appears_finished,723,144,33,7383704,0.765,0.650,0.929,0.667,1,1,1,1,1,0.810,0.858,0.828,0.737,0.571,0.712,0.765,0.667,1,0.833,1,0.833,1
iof-maintenance,run-02,false,0,0,true,gpt-5.4,50,app_agent_appears_finished,1244,100,25,3846219,0.600,0.450,0.900,0.522,0.444,0.400,1,1,1,0.522,0.642,0.720,0.667,0.333,0.573,0.600,0.522,0.444,0.727,1,0.727,1
iof-maintenance,run-03,false,0,0,true,gpt-5.4,45,app_agent_appears_finished,457,92,23,3251947,0.645,0.500,0.909,0.560,0.750,0.600,1,1,1,0.652,0.739,0.692,0.600,0.800,0.697,0.645,0.560,0.750,0.444,1,0.444,1
iof-supply-chain,run-01,false,0,0,true,gpt-5.4,48,app_agent_appears_finished,1262,94,25,3914556,0.641,0.472,1,0.615,1,1,,0,0,0.752,,0.868,0.667,0.800,0.778,0.641,0.731,1,0.750,0.667,0.750,0.667
iof-supply-chain,run-02,false,0,0,true,gpt-5.4,63,pleasantry_loop_detected,1291,107,39,3472593,0.658,0.491,1,0.784,0.800,0.667,,0,0,0.748,,0.778,0.727,1,0.835,0.658,0.824,0.800,0.889,1,0.889,1
iof-supply-chain,run-03,false,0,0,true,gpt-5.4,87,app_agent_appears_finished,1692,170,41,11019152,0.633,0.472,0.962,0.483,0.800,0.667,,0,0,0.639,,0.741,0.510,1,0.750,0.658,0.621,0.800,0.800,1,0.800,1
fibo-loans,run-01,false,0,0,true,gpt-5.4,64,app_agent_appears_finished,1317,135,35,9232753,0.652,0.509,0.906,0.780,0.507,0.367,,0,0,0.646,,0.679,0.533,0.485,0.566,0.674,0.780,0.507,0.667,0.769,0.667,0.769
fibo-loans,run-02,false,0,0,true,gpt-5.4,60,app_agent_appears_finished,651,110,25,4937998,0.557,0.386,1,0.702,0.515,0.347,,0,0,0.591,,0.783,0.651,0.357,0.597,0.557,0.737,0.515,0.833,1,0.833,1
fibo-loans,run-03,false,0,0,true,gpt-5.4,56,app_agent_appears_finished,1109,115,29,5789296,0.659,0.509,0.935,0.645,0.462,0.306,,0,0,0.589,,0.800,0.500,0.667,0.656,0.682,0.742,0.462,0.250,0.909,0.250,0.909
